cdli_id,factgrid_qid,artifact_label,write_action,claims_written,claims_skipped,write_status,write_error,label_collision_qid
311873,Q2162304,Cuneiform Tablet YBC 11898,create,11,1,written,,
4327,Q2162305,Cuneiform Tablet IM 134844,create,10,1,written,,
214913,Q2162306,"Cuneiform Tablet JCS 35, 211, 1",create,8,1,written,,
293683,Q1974568,Cuneiform Tablet NBC 04392,update,4,8,written,,
451856,Q2162307,"Cuneiform Tablet AAT pl. 48 (1879-07-08, 144)",create,9,1,written,,
101247,Q1986057,"Cuneiform Tablet AnOr 01, 256",update,4,8,written,,
436592,Q2162308,"Cuneiform Tablet KBo 22, 117",create,10,1,written,,
258787,Q2162309,"Cuneiform Tablet PBS 07, 122",create,10,1,written,,
554936,Q2162310,Cuneiform Tablet MacGinnis Letter Orders from Sippar 178,create,11,1,written,,
315099,Q2162311,"Cuneiform Tablet CT 55, 706",create,11,1,written,,
406124,Q2162312,Cuneiform Tablet SM 1899.02.445,create,11,1,written,,
246799,Q2162313,Cuneiform Tablet P246799,create,10,1,written,,
565292,Q2162314,"Cuneiform Tablet ADART 3, no. -161 B",create,10,1,written,,
268331,Q2162315,Cuneiform Tablet CBS 13249,create,11,1,written,,
