Len,Aen,,Aen,FG-Q,P2_1,P2_2,P694,P48,P131_1,P131_2
Tell Khaiber,mod. Tell Khaiber),,uncertain (mod. Tell Khaiber),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/635,,Q389597,Q393513
Tell Kirbāsi,mod. Tell Kirbāsi),,Uncertain (mod. Tell Kirbāsi),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1010,,Q389597,Q393513
Tigunānum,Tigunānum,,Tigunānum (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/51,,Q389597,Q393513
Tiryntha,mod. Tiryntha),,uncertain (mod. Tiryntha),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/967,,Q389597,Q393513
Ṭūd,mod. Ṭūd),,uncertain (mod. Ṭūd),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/975,,Q389597,Q393513
Tulūl ‘Adāy,mod. Tulūl ‘Adāy),,uncertain (mod. Tulūl ‘Adāy),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/946,,Q389597,Q393513
Tulūl Abū ‘Aẓam,mod. Tulūl Abū ‘Aẓam),,uncertain (mod. Tulūl Abū ‘Aẓam),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/945,,Q389597,Q393513
Tulūl al-Fāj,mod. Tulūl al-Fāj),,uncertain (mod. Tulūl al-Fāj),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/660,,Q389597,Q393513
Tulūl al-Khāldiyah,mod. Tulūl al-Khāldiyah),,uncertain (mod. Tulūl al-Khāldiyah),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/949,,Q389597,Q393513
Tulūl Bismāyah,mod. Tulūl Bismāyah),,uncertain (mod. Tulūl Bismāyah),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/706,,Q389597,Q393513
Tulūl Kubībah,mod. Tulūl Kubībah),,uncertain (mod. Tulūl Kubībah),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1016,,Q389597,Q393513
Tulūl Yassir,Malgium (mod. Tulūl Yassir),,Malgium (mod. Tulūl Yassir),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/172,,Q389597,Q393513
