Label,Modern,count,Provenience
uncertain,mod. Saba'a,1,1 uncertain (mod. Saba'a)
uncertain,mod. Samarra,5,5 uncertain (mod. Samarra)
uncertain,mod. Sar-i-pul-i-Zohāb,4,4 uncertain (mod. Sar-i-pul-i-Zohāb)
uncertain,mod. Sela,2,2 uncertain (mod. Sela)
uncertain,mod. Sepphoris,3,3 uncertain (mod. Sepphoris)
uncertain,mod. Shadad,1,1 uncertain (mod. Shadad)
uncertain,mod. Shahr-i Sokhta,1,1 uncertain (mod. Shahr-i Sokhta)
uncertain,mod. Shiqāft-i Gulgul,2,2 uncertain (mod. Shiqāft-i Gulgul)
uncertain,mod. Shir as-Sanam,1,1 uncertain (mod. Shir as-Sanam)
uncertain,mod. Sidon,2,2 uncertain (mod. Sidon)
uncertain,mod. Suez,2,2 uncertain (mod. Suez)
uncertain,mod. Sur Jar'a,39,39 uncertain (mod. Sur Jar'a)
uncertain,mod. Tall Imlīḥiyah,45,45 uncertain (mod. Tall Imlīḥiyah)
uncertain,mod. Tall al-Farḥa,2,2 uncertain (mod. Tall al-Farḥa)
uncertain,mod. Tall al-Qiṭar,1,1 uncertain (mod. Tall al-Qiṭar)
uncertain,mod. Tall-I Nokhodi,1,1 uncertain (mod. Tall-I Nokhodi)
uncertain,mod. Tang-i Var,1,1 uncertain (mod. Tang-i Var)
uncertain,mod. Tappeh Bormi,1,1 uncertain (mod. Tappeh Bormi)
uncertain,"mod. Tas-Silg, Malta",1,"1 uncertain (mod. Tas-Silg, Malta)"
uncertain,mod. Tell Abta,1,1 uncertain (mod. Tell Abta)
uncertain,mod. Tell Abu Galgal,3,3 uncertain (mod. Tell Abu Galgal)
uncertain,mod. Tell Abu Hajar,1,1 uncertain (mod. Tell Abu Hajar)
uncertain,mod. Tell Abu Harmal,5,5 uncertain (mod. Tell Abu Harmal)
uncertain,mod. Tell Abu Nakhlab,1,1 uncertain (mod. Tell Abu Nakhlab)
uncertain,mod. Tell Abu Qubur,1,1 uncertain (mod. Tell Abu Qubur)
uncertain,mod. Tell Agrab,155,155 uncertain (mod. Tell Agrab)
uncertain,mod. Tell Baradan,3,3 uncertain (mod. Tell Baradan)
uncertain,mod. Tell Basmaya,10,10 uncertain (mod. Tell Basmaya)
uncertain,mod. Tell Fakhariyah,16,16 uncertain (mod. Tell Fakhariyah)
uncertain,mod. Tell Fray,1,1 uncertain (mod. Tell Fray)
uncertain,mod. Tell Ghdairife,2,2 uncertain (mod. Tell Ghdairife)
uncertain,mod. Tell Hammam et-Turkman,3,3 uncertain (mod. Tell Hammam et-Turkman)
uncertain,mod. Tell Hammam,1,1 uncertain (mod. Tell Hammam)
uncertain,mod. Tell Huweish,1,1 uncertain (mod. Tell Huweish)
uncertain,mod. Tell Jidr,2,2 uncertain (mod. Tell Jidr)
uncertain,mod. Tell Kar,1,1 uncertain (mod. Tell Kar)
uncertain,mod. Tell Khaiber,150,150 uncertain (mod. Tell Khaiber)
uncertain,mod. Tell Muhammad,70,70 uncertain (mod. Tell Muhammad)
uncertain,mod. Tell Sabaa,12,12 uncertain (mod. Tell Sabaa)
uncertain,mod. Tell Sabi Abyad,18,18 uncertain (mod. Tell Sabi Abyad)
uncertain,mod. Tell Subeidi,42,42 uncertain (mod. Tell Subeidi)
uncertain,mod. Tell Sukas,1,1 uncertain (mod. Tell Sukas)
uncertain,mod. Tell Sweyhat,1,1 uncertain (mod. Tell Sweyhat)
uncertain,mod. Tell Taanach,1,1 uncertain (mod. Tell Taanach)
