FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en,source_file
Q390163,https://database.factgrid.de/entity/Q390163,Umm al-Wawīya,,215,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099892,https://database.factgrid.de/entity/Q2099892,Abu Sêcher,,123,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099893,https://database.factgrid.de/entity/Q2099893,Adabilu,,362,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099895,https://database.factgrid.de/entity/Q2099895,Agamatanu,,56,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099904,https://database.factgrid.de/entity/Q2099904,Alu-ša-šuma-ukin,,203,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099915,https://database.factgrid.de/entity/Q2099915,Bīt-Bāba-ēriš,,368,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099917,https://database.factgrid.de/entity/Q2099917,Bīt-Dibušiti,,369,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099919,https://database.factgrid.de/entity/Q2099919,Bīt-ham...,,372,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099923,https://database.factgrid.de/entity/Q2099923,Bīt-Naʾinnašu,,371,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099925,https://database.factgrid.de/entity/Q2099925,Bīt-Šinqā,,373,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099927,https://database.factgrid.de/entity/Q2099927,Bit-zerija,,31,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099932,https://database.factgrid.de/entity/Q2099932,Dusabar,,45,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099938,https://database.factgrid.de/entity/Q2099938,Ešura,,379,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099960,https://database.factgrid.de/entity/Q2099960,Kapru,,37,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099968,https://database.factgrid.de/entity/Q2099968,Kumu,,151,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099977,https://database.factgrid.de/entity/Q2099977,Nar-Madanu,,313,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099978,https://database.factgrid.de/entity/Q2099978,Naṣir,,63,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099982,https://database.factgrid.de/entity/Q2099982,Qaṭibat,,76,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099984,https://database.factgrid.de/entity/Q2099984,Qatuna,,61,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
