FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en
Q389917,https://database.factgrid.de/entity/Q389917,Amuda,,179,Point(40.9293 37.0972),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099973,https://database.factgrid.de/entity/Q2099973,Mah-i-dasht plain,mod. Mah-i-dasht plain,18,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099959,https://database.factgrid.de/entity/Q2099959,Kapri-ša-naqidati,,182,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389839,https://database.factgrid.de/entity/Q389839,Tikrit,Tikrit,183,Point(43.6753 34.5974),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389803,https://database.factgrid.de/entity/Q389803,Tell Abu-Maria,Apqu-ša-Adad,185 | 158,Point(42.5973 36.4295),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099991,https://database.factgrid.de/entity/Q2099991,Šašrum,,186,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q390032,https://database.factgrid.de/entity/Q390032,Yasuj,mod. Yasuj,188,Point(51.5796 30.6673),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389637,https://database.factgrid.de/entity/Q389637,Qaqun,Kibbutz Hama-apil,189,Point(34.995 32.3593),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389966,https://database.factgrid.de/entity/Q389966,Khan Haswa,,19,Point(44.4016 32.8277),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390044,https://database.factgrid.de/entity/Q390044,Šarišša,Kuşaklı,190,Point(36.9096 39.3084),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389841,https://database.factgrid.de/entity/Q389841,Maškan-šapir (mod. Tell Abu Duwari),Mashkan-shapir | Maškan-šapir,192,Point(45.2207 32.4055),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099964,https://database.factgrid.de/entity/Q2099964,Kazallu,,193,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q390000,https://database.factgrid.de/entity/Q390000,'Anah,'Ana | Anatho | mod. 'Ana,194,Point(41.9794 34.4677),Q8 | Q389596,ancient location and modern archaeological excavation site
