,P771,Len,Aen,FG_qid,P694,P48
FG_Qid,Wikidata_qid,transciption_name,cdli_legacy_'Len',ancientplace,id_text2,coord
Q389820,Q5684,Babylon,Bābili (mod. Babylon) : uncertain (mod. Amran),https://database.factgrid.de/entity/Q389820,299,Point(44.4258 32.535)
Q389820,Q5684,Babylon,Bābili (mod. Babylon) : uncertain (mod. Amran),https://database.factgrid.de/entity/Q389820,200,Point(44.4258 32.535)
Q389701,Q569107,Malyan,Anšan (mod. Tell Malyan),https://database.factgrid.de/entity/Q389701,286,Point(52.4123 30.0119)
Q389877,Q5699,Tall al-Muqayyar,Ur (mod. Tell Muqayyar),https://database.factgrid.de/entity/Q389877,21,Point(46.1063 30.9607)
Q389610,Q5736,Amarna,Akhetaten (mod. el-Amarna),https://database.factgrid.de/entity/Q389610,266,Point(30.8959 27.64)
Q389938,Q5743,Ebla,Ebla (mod. Tell Mardikh),https://database.factgrid.de/entity/Q389938,79,Point(36.7983 35.799)
Q389868,Q575249,Alalakh,Alalakh (mod. Tell Açana) : uncertain (mod. Tell Atshana),https://database.factgrid.de/entity/Q389868,162,Point(36.3842 36.2377)
Q92481,Q5760,Thebes,Thêbai (mod. Thebes Beoticia Greece),https://database.factgrid.de/entity/Q92481,403,Point(23.3177 38.3207)
Q389653,Q5843680,Halicarnassus,Halicarnassus (mod. Halicarnassus),https://database.factgrid.de/entity/Q389653,382,Point(27.4241 37.0379)
Q389703,Q5845929,Tankīwar,uncertain (mod. Tang-i Var),https://database.factgrid.de/entity/Q389703,429,Point(46.6182 34.9961)
Q389934,Q588192,Tall Laiylān,Šubat-Enlil (mod. Leilan),https://database.factgrid.de/entity/Q389934,289,Point(41.5069 36.9579)
Q389836,Q607583,Tapah Gawra,uncertain (mod. Tepe Gawra),https://database.factgrid.de/entity/Q389836,285,Point(43.2604 36.4958)
Q390048,Q6085880,Turlu Höyük,uncertain (mod. Turlu Höyük),https://database.factgrid.de/entity/Q390048,441,Point(37.7581 37.0676)
Q390054,Q6087910,Habıbuşaǧı,,https://database.factgrid.de/entity/Q390054,,Point(38.7937 38.4334)
Q390072,Q6093972,Giricano,uncertain (mod. Giricano),https://database.factgrid.de/entity/Q390072,150,Point(40.7499 37.8169)
Q82414,Q60956,Ashkelon,Isqalluna (mod. Ashkelon),https://database.factgrid.de/entity/Q82414,251,Point(34.5471 31.6629)
Q390055,Q6097573,Kazane Höyük,,https://database.factgrid.de/entity/Q390055,,Point(38.846 37.1196)
