audit_status,cdli_id,factgrid_qid,live_cdli_id,live_label_en,live_description_en,label,artifact_type,period_id,period,period_time_range,statement_status,statement_value,statement_value_label,live_period_property,live_period_qid,live_period_label,provenience,primary_collection
no_expected_no_live,562042,Q2162403,P562042,"Cuneiform Tablet MSL 10, 065",CDLI artifact: tablet; CDLI P562042,"MSL 10, 065",tablet,,,,,,,,,,,
no_expected_no_live,562081,Q2167162,P562081,Cuneiform Tablet BM 032671,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562081",BM 032671,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562185,Q2169063,P562185,Cuneiform Tablet BM 032842,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562185",BM 032842,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562193,Q2047246,P562193,Cuneiform Tablet BM 032915 + BM 032977,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562193",BM 032915 + BM 032977,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562214,Q2170451,P562214,Cuneiform Tablet BM 033043,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562214",BM 033043,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562243,Q2148394,P562243,Cuneiform Tablet BM 033345,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562243",BM 033345,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562279,Q2163520,P562279,Cuneiform Tablet BM 033396,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562279",BM 033396,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562347,Q2166312,P562347,Cuneiform Tablet BM 033584 (+) BM 033636 + BM 033855,"CDLI artifact: tablet; from Babylon (mod. Bābil); held by British Museum, London, UK; CDLI P562347",BM 033584 (+) BM 033636 + BM 033855,tablet,,,,,,,,,,Babylon (mod. Bābil),"British Museum, London, UK"
no_expected_no_live,562412,Q2162520,P562412,Cuneiform Tablet BM 033704,"CDLI artifact: tablet; from Babylon (mod. Bābil); held by British Museum, London, UK; CDLI P562412",BM 033704,tablet,,,,,,,,,,Babylon (mod. Bābil),"British Museum, London, UK"
no_expected_no_live,562469,Q2044626,P562469,Cuneiform Tablet BM 033897,"CDLI artifact: tablet; from Babylon (mod. Bābil); held by British Museum, London, UK; CDLI P562469",BM 033897,tablet,,,,,,,,,,Babylon (mod. Bābil),"British Museum, London, UK"
no_expected_no_live,562486,Q2142869,P562486,Cuneiform Tablet BM 034006,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562486",BM 034006,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562490,Q2169582,P562490,Cuneiform Tablet BM 034011,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562490",BM 034011,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562500,Q2164121,P562500,Cuneiform Tablet BM 034026,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562500",BM 034026,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562557,Q2162296,P562557,Cuneiform Tablet BM 034288,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562557",BM 034288,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562594,Q2166948,P562594,Cuneiform Tablet BM 034382,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562594",BM 034382,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562605,Q2168056,P562605,Cuneiform Tablet BM 034414,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562605",BM 034414,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562613,Q2151605,P562613,Cuneiform Tablet BM 034441,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562613",BM 034441,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562629,Q2163655,P562629,Cuneiform Tablet BM 034474,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562629",BM 034474,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562644,Q2170310,P562644,Cuneiform Tablet BM 034505,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562644",BM 034505,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562652,Q2165464,P562652,Cuneiform Tablet BM 034522,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562652",BM 034522,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562717,Q2166446,P562717,Cuneiform Tablet BM 035256,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562717",BM 035256,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562740,Q2168266,P562740,Cuneiform Tablet BM 035409,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562740",BM 035409,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562756,Q2168720,P562756,Cuneiform Tablet BM 035452,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562756",BM 035452,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562783,Q2163608,P562783,Cuneiform Tablet BM 035588,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562783",BM 035588,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562828,Q2167482,P562828,Cuneiform Tablet BM 035827,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562828",BM 035827,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562853,Q2164559,P562853,Cuneiform Tablet BM 035903,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562853",BM 035903,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562869,Q2169852,P562869,Cuneiform Tablet BM 035952,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562869",BM 035952,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562886,Q2168792,P562886,Cuneiform Tablet BM 036002,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562886",BM 036002,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562890,Q2047865,P562890,Cuneiform Tablet BM 036015,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562890",BM 036015,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562916,Q2164947,P562916,Cuneiform Tablet BM 036113,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562916",BM 036113,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562941,Q2162654,P562941,Cuneiform Tablet BM 036199,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562941",BM 036199,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562982,Q2167439,P562982,Cuneiform Tablet BM 036342,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562982",BM 036342,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,563002,Q2157393,P563002,Cuneiform Tablet BM 036374,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P563002",BM 036374,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,563038,Q2163924,P563038,Cuneiform Tablet BM 036465,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P563038",BM 036465,tablet,,,,,,,,,,,"British Museum, London, UK"
