repair_status,cdli_id,factgrid_qid,artifact_label,live_period_property,live_period_qid,live_period_label,correct_period_qid,expected_period_label,repair_note
ready,554936,Q2162310,Cuneiform Tablet MacGinnis Letter Orders from Sippar 178,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,555171,Q2165322,Cuneiform Tablet BM 109966,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,555258,Q2167193,Cuneiform Tablet MacGinnis Letter Orders from Sippar 11,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,555274,Q2162159,Cuneiform Tablet MacGinnis Letter Orders from Sippar 34,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,555331,Q2162379,Cuneiform Tablet MacGinnis Letter Orders from Sippar 119,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,555389,Q2164147,Cuneiform Tablet MacGinnis Letter Orders from Sippar 187,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,555608,Q2167060,Cuneiform Artifact CDLI Seals 026858 (composite),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,555649,Q2169392,Cuneiform Tablet BM 017682,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,555673,Q2164127,Cuneiform Tablet BM 017736,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,555736,Q2165123,Cuneiform Tablet BM 022376,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,555761,Q2162538,Cuneiform Artifact CDLI Seals 026885 (composite),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,556073,Q2063855,"Cuneiform Tablet AOAT 451, no. 200",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,556989,Q2169215,"Cuneiform Tablet ADART 4, no. -368",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,558893,Q2167512,Cuneiform Tablet BM 025626,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,558939,Q2167419,Cuneiform Tablet BM 025708,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,558942,Q2164470,Cuneiform Tablet BM 025711,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,558981,Q2047389,Cuneiform Tablet BM 026231,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,558997,Q2169022,Cuneiform Tablet BM 026485,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,559040,Q2016103,Cuneiform Tablet BM 026563,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
