audit_status,cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,expected_period_qid,expected_period_label,live_period_property,live_period_qid,live_period_label,live_cdli_id
no_expected_no_live,416237,Q2169963,,Cuneiform Tablet CULC 329,"CDLI artifact: tablet; held by Columbia University Library, New York, New York, USA; CDLI P416237",,,,,,P416237
no_expected_no_live,416276,Q2167666,,Cuneiform Tablet CULC 368,"CDLI artifact: tablet; held by Columbia University Library, New York, New York, USA; CDLI P416276",,,,,,P416276
no_expected_no_live,420692,Q2163552,,Cuneiform Tablet SMUI 1913.14.0311,"CDLI artifact: tablet; held by Spurlock Museum, University of Illinois, Urbana-Champaign, Illinois, USA; CDLI P420692",,,,,,P420692
no_expected_no_live,420702,Q2152412,,Cuneiform Tablet SMUI 1913.14.0322,"CDLI artifact: tablet; held by Spurlock Museum, University of Illinois, Urbana-Champaign, Illinois, USA; CDLI P420702",,,,,,P420702
no_expected_no_live,420714,Q2167989,,Cuneiform Tablet SMUI 1913.14.0334,"CDLI artifact: tablet; held by Spurlock Museum, University of Illinois, Urbana-Champaign, Illinois, USA; CDLI P420714",,,,,,P420714
no_expected_no_live,420738,Q2163731,,Cuneiform Tablet SMUI 1913.14.0358,"CDLI artifact: tablet; held by Spurlock Museum, University of Illinois, Urbana-Champaign, Illinois, USA; CDLI P420738",,,,,,P420738
no_expected_no_live,420743,Q2165598,,Cuneiform Tablet SMUI 1913.14.0363,"CDLI artifact: tablet; held by Spurlock Museum, University of Illinois, Urbana-Champaign, Illinois, USA; CDLI P420743",,,,,,P420743
no_expected_no_live,421345,Q2164709,,Cuneiform Tablet SMUI 1913.14.1492,"CDLI artifact: tablet; held by Spurlock Museum, University of Illinois, Urbana-Champaign, Illinois, USA; CDLI P421345",,,,,,P421345
no_expected_no_live,421847,Q2170248,,Cuneiform Tablet BM 098557,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P421847",,,,,,P421847
no_expected_no_live,421851,Q2165542,,Cuneiform Tablet BM 098566,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P421851",,,,,,P421851
no_expected_no_live,421902,Q2170610,,Cuneiform Tablet BM 098648,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P421902",,,,,,P421902
no_expected_no_live,421914,Q2166380,,Cuneiform Tablet BM 098670,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P421914",,,,,,P421914
no_expected_no_live,421943,Q2168330,,"Cuneiform Tablet MC 25, 629","CDLI artifact: tablet; held by British Museum, London, UK; CDLI P421943",,,,,,P421943
no_expected_no_live,421955,Q2167981,,Cuneiform Tablet BM 098746,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P421955",,,,,,P421955
no_expected_no_live,421980,Q2163539,,Cuneiform Tablet BM 098774,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P421980",,,,,,P421980
no_expected_no_live,422007,Q2167264,,Cuneiform Tablet BM 098807,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422007",,,,,,P422007
no_expected_no_live,422046,Q2169626,,Cuneiform Tablet BM 098887,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422046",,,,,,P422046
no_expected_no_live,422139,Q2165177,,Cuneiform Tablet BM 099123,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422139",,,,,,P422139
no_expected_no_live,422181,Q2162263,,Cuneiform Tablet BM 099213,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422181",,,,,,P422181
no_expected_no_live,422210,Q2163198,,Cuneiform Tablet BM 099264,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422210",,,,,,P422210
no_expected_no_live,422284,Q2165434,,Cuneiform Tablet BM 105322,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422284",,,,,,P422284
no_expected_no_live,422292,Q2170349,,Cuneiform Tablet BM 114697,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422292",,,,,,P422292
no_expected_no_live,422338,Q2170382,,Cuneiform Tablet BM 121063,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P422338",,,,,,P422338
