repair_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,live_period_property,live_period_qid,live_period_label,expected_period_label,correct_period_qid,repair_note
ready,256062,P256062,Q2164332,UM 29-15-233,Cuneiform Tablet UM 29-15-233,,P853,Q512146,Lagash II Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,256432,P256432,Q2162252,UM 29-15-716,Cuneiform Tablet UM 29-15-716,,P853,Q512146,Lagash II Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,256598,P256598,Q2162554,UM 29-15-969,Cuneiform Tablet UM 29-15-969,,P853,Q512150,Early Old Babylonian Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,257223,P257223,Q2167592,"RINAP 4 Esarhaddon 057, ex. 001","Cuneiform Artifact RINAP 4 Esarhaddon 057, ex. 001",,P853,Q512148,Ur III Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,259397,P259397,Q2163996,"BE 15, 003","Cuneiform Tablet BE 15, 003",,P853,Q512146,Lagash II Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,260150,P260150,Q2167214,CBS 03777,Cuneiform Tablet CBS 03777,,P853,Q512158,Neo-Assyrian Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,262497,P262497,Q2165259,CBS 07495,Cuneiform Tablet CBS 07495,,P853,Q512152,Old Babylonian Period,Early Old Babylonian Period,Q512150,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,264113,P264113,Q2162401,CBS 06605,Cuneiform Tablet CBS 06605,,P853,Q512146,Lagash II Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,265702,P265702,Q2167911,BagM 33 Tafel 2 24,Cuneiform Tablet BagM 33 Tafel 2 24,,P853,Q512155,Middle Assyrian Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,265997,P265997,Q2169638,"BE 17/1, 021","Cuneiform Tablet BE 17/1, 021",,P853,Q512155,Middle Assyrian Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,266987,P266987,Q2167353,CBS 11849,Cuneiform Tablet CBS 11849,,P853,Q512146,Lagash II Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
