write_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,period_property,period_qid,expected_period_label,write_note
ready,547834,P547834,Q2163563,CDLI Seals 025255 (physical),Cuneiform Artifact CDLI Seals 025255 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by The Art Museum, Princeton University, Princeton, New Jersey, USA; CDLI P547834",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,548305,P548305,Q2170045,CDLI Seals 025690 (physical),Cuneiform Artifact CDLI Seals 025690 (physical),"CDLI artifact: Cylinder seal; from Mari (mod. Tell Hariri); ED IIIb; held by National Museum of Syria, Aleppo, Syria; CDLI P548305",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,549294,P549294,Q2166825,CDLI Seals 026536 (physical),Cuneiform Artifact CDLI Seals 026536 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED I-II; held by Michael Chiha collection, Beyrouth, Lebanon; CDLI P549294",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,549312,P549312,Q2162398,CDLI Seals 026554 (physical),Cuneiform Artifact CDLI Seals 026554 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by Michael Chiha collection, Beyrouth, Lebanon; CDLI P549312",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,549715,P549715,Q2165102,Ashm 1939-0332 (125),Cuneiform Artifact Ashm 1939-0332 (125),"CDLI artifact: sealing; from Nagar (mod. Tell Brak); ED I-II; held by Ashmolean Museum, Oxford, UK; CDLI P549715",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,549739,P549739,Q2044627,Ashm 1939-0332 (163),Cuneiform Artifact Ashm 1939-0332 (163),"CDLI artifact: sealing; from Nagar (mod. Tell Brak); Old Akkadian; held by Ashmolean Museum, Oxford, UK; CDLI P549739",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,549742,P549742,Q2162514,Ashm 1939-0332 (017),Cuneiform Artifact Ashm 1939-0332 (017),"CDLI artifact: sealing; from Nagar (mod. Tell Brak); ED I-II; held by Ashmolean Museum, Oxford, UK; CDLI P549742",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,549914,P549914,Q2166003,Ashm 1930-0387c,Cuneiform Artifact Ashm 1930-0387c,"CDLI artifact: sealing; from Kish (mod. Tell Ingharra); ED I-II; held by Ashmolean Museum, Oxford, UK; CDLI P549914",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,549943,P549943,Q1932802,Ashm 1930-0408 (02),Cuneiform Artifact Ashm 1930-0408 (02),"CDLI artifact: sealing; from Kish (mod. Tell Ingharra); Old Akkadian; held by Ashmolean Museum, Oxford, UK; CDLI P549943",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,549955,P549955,Q2161366,Ashm 1931-0158,Cuneiform Artifact Ashm 1931-0158,"CDLI artifact: sealing; from Kish (mod. Tell Ingharra); ED I-II; held by Ashmolean Museum, Oxford, UK; CDLI P549955",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,565744,P565744,Q2167184,"Kaskal 4 (2007) p. 43-64, no. 05","Cuneiform Tablet Kaskal 4 (2007) p. 43-64, no. 05","CDLI artifact: tablet; from Šubat-Enlil (mod. Leilan); Old Akkadian; held by National Museum of Syria, Der-ez-Zor, Syria; CDLI P565744",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,603197,P603197,Q2167259,"ZA 110, 9 no. 3","Cuneiform Artifact ZA 110, 9 no. 3","CDLI artifact: tag; from Kian (Tell Shmid); ED IIIb; held by National Museum of Iraq, Baghdad, Iraq; CDLI P603197",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
